"Day ","Items ","Note ","Amount "
"86","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"86","Rental Expense","Cash Payment - Rental - Miami","1800"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - New York","1617"
"86","Rental Expense","Cash Payment - Rental - New York","1340"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","999"
"86","Rental Expense","Cash Payment - Rental - Detroit","500"
"86","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Chicago","1353"
"86","Rental Expense","Cash Payment - Rental - Chicago","740"
"86","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Human Resource Expense","Counselled","2000"
"85","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"85","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"85","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"85","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"85","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1500"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1500"
"85","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1500"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"85","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"85","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"85","Salary Expense","Cash Payment - Salary Expense","32880"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12566","68"
"85","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12597","57"
"85","Shipping Expense","Cash Payment - Move Stock ID: 12508","131480"
"85","Shipping Expense","Cash Payment - Move Stock ID: 12509","65888"
"85","Penalty Expense","Cash Payment - Late penalty - SRV SO ID: 9775","4400"
"85","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"85","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"85","Rental Expense","Cash Payment - Rental - Miami","1800"
"85","Rental Expense","Cash Payment - Rental - New York","1340"
"85","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","1107"
"85","Rental Expense","Cash Payment - Rental - Detroit","500"
"85","Rental Expense","Cash Payment - Rental - Chicago","740"
"85","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"84","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1400"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"84","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"84","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"84","Salary Expense","Cash Payment - Salary Expense","32880"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12273","19"
"84","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12422","121"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 246","15000"
"84","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 249","15000"
"84","Shipping Expense","Cash Payment - Move Stock ID: 12143","39585"
"84","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"84","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"84","Rental Expense","Cash Payment - Rental - Miami","1800"
"84","Rental Expense","Cash Payment - Rental - New York","1340"
"84","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Detroit","378"
"84","Rental Expense","Cash Payment - Rental - Detroit","500"
"84","Rental Expense","Cash Payment - Rental - Chicago","740"
"84","Rental Expense","Cash Payment - Rental - Washington, D.C.","2440"
"83","Human Resource Expense","Counselled","2000"
"83","Human Resource Expense","Counselled","2000"
"83","Marketing Expense","Cash Payment - Marketing Report Subscription","20000"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Sparkling Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - Red Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - Los Angeles - White Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - New York - Sparkling Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - New York - Red Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - New York - White Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Sparkling Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - Red Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - Detroit - White Wine","1400"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Sparkling Wine","1600"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Red Wine","1600"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - White Wine","1700"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Sparkling Wine","1000"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Red Wine","1000"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - White Wine","1000"
"83","Salary Expense","Cash Payment - Salary Expense","32880"
"83","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 12248","112"
"83","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 282","15000"
"83","Shipping Expense","Cash Payment - Move Stock ID: 11976","94960"
"83","Shipping Expense","Cash Payment - Move Stock ID: 12144","65888"
"83","Depreciation Expense","Non-Cash Expense - Depreciation","5000"
"83","Overflow Expense - Retail","Cash Payment - Overflow Fee  - Los Angeles","150"
"83","Rental Expense","Cash Payment - Rental - Los Angeles","540"
"83","Rental Expense","Cash Payment - Rental - Miami","1800"
"83","Rental Expense","Cash Payment - Rental - New York","1340"
"83","Rental Expense","Cash Payment - Rental - Detroit","500"
"83","Rental Expense","Cash Payment - Rental - Chicago","740"
